Ship,Class,Estimated Ship Slot Count,Machine ID,Manufacturer,Machine Title,Variant,Family,Bank,Seat In Bank,Confidence,Status,AP Visibility Score,Source Basis,Whitelist Rule
Icon of the Seas,Icon,370,I-035,Aristocrat,Buffalo Stampede,Standard,Video Slot,BUF-01,1,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-036,Aristocrat,Buffalo Gold,Classic,Video Slot,BUF-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-037,Aristocrat,Buffalo Ascension,Standard,Video Slot,BUF-01,2,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-038,Aristocrat,Buffalo Link,Super Buffalo,Link,BUF-01,2,62,Modeled from whitelist,9,User list / visual ID,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-039,Aristocrat,Buffalo Gold,Collection,Video Slot,BUF-01,2,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-040,Aristocrat,Buffalo Chief,Standard,Video Slot,BUF-01,2,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-041,Aristocrat,Buffalo Stampede,Standard,Video Slot,BUF-01,2,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-042,Aristocrat,Buffalo Gold,Classic,Video Slot,BUF-01,2,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-043,Aristocrat,Buffalo Ascension,Standard,Video Slot,BUF-01,3,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-044,Light & Wonder,Huff N More Puff,Standard,Feature Slot,HUF-01,1,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-045,Light & Wonder,Huff N Even More Puff,Standard,Feature Slot,HUF-01,1,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-046,Light & Wonder,Huff and Mega Puff,Standard,Feature Slot,HUF-01,1,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-047,Light & Wonder,Huff N Puff,Original,Feature Slot,HUF-01,1,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-048,Light & Wonder,Huff N Puff,Money Mansion,Feature Slot,HUF-01,1,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-049,Light & Wonder,Huff N More Puff,Standard,Feature Slot,HUF-01,2,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-050,Light & Wonder,Huff N Even More Puff,Standard,Feature Slot,HUF-01,2,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-051,Light & Wonder,Huff and Mega Puff,Standard,Feature Slot,HUF-01,2,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-052,Light & Wonder,Huff N Puff,Original,Feature Slot,HUF-01,2,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-053,Light & Wonder,Huff N Puff,Money Mansion,Feature Slot,HUF-01,2,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-054,Light & Wonder,Huff N More Puff,Standard,Feature Slot,HUF-01,3,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-055,IGT,Wheel of Fortune,Gold Spin,Reel/Video,WHE-01,1,95,Ship-specific seed,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-056,IGT,Wheel of Fortune,4D,Video Slot,WHE-01,1,76,Fleet-staple modeled,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-057,IGT,Wheel of Fortune,High Roller,Reel/Video,WHE-01,1,76,Fleet-staple modeled,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-058,IGT,Wheel of Fortune,Classic,Reel/Video,WHE-01,1,76,Fleet-staple modeled,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-059,IGT,Wheel of Fortune,Gold Spin,Reel/Video,WHE-01,2,95,Ship-specific seed,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-060,IGT,Wheel of Fortune,4D,Video Slot,WHE-01,2,76,Fleet-staple modeled,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-061,IGT,Wheel of Fortune,High Roller,Reel/Video,WHE-01,2,76,Fleet-staple modeled,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-062,IGT,Wheel of Fortune,Classic,Reel/Video,WHE-01,2,76,Fleet-staple modeled,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-063,IGT,Wheel of Fortune,Gold Spin,Reel/Video,WHE-01,3,95,Ship-specific seed,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-064,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-01,1,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-065,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-01,1,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-066,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-01,2,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-067,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-01,2,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-068,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-01,3,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-069,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-01,3,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-070,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-01,4,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-071,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-01,4,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-072,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-02,1,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-073,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-02,1,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-074,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-02,2,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-075,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-02,2,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-076,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-02,3,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-077,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-02,3,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-078,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-02,4,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-079,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-02,4,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-080,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-03,1,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-081,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-03,1,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-082,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-03,2,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-083,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-03,2,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-084,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-03,3,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-085,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-03,3,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-086,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-03,4,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-087,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-03,4,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-088,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-04,1,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-089,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-04,1,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-090,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-04,2,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-091,Multi-vendor,Video Poker,Slant-top / Floor,Video Poker,VID-04,2,62,Modeled from whitelist,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-092,Light & Wonder,Prosperity Link,Standard,Link,PRO-01,1,95,Ship-specific seed,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-093,Modeled from user list,Lion Link,Standard,Link,LIO-01,1,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-094,Light & Wonder,Dancing Drums,Original,Video Slot,DAN-01,1,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-095,Light & Wonder,88 Fortunes,Standard,Video Slot,88 -01,1,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-096,Light & Wonder,Mystery of the Lamp,Standard,Video Slot,MYS-01,1,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-097,Aristocrat,Coin Trio,Piggy Burst,Video Slot,COI-01,1,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-098,Light & Wonder,Lock It Link,Piggy Bankin',Link,LOC-01,1,95,Ship-specific seed,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-099,Aristocrat,Wonder 4 Boost,Standard,Video Slot,WON-01,1,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-100,Aristocrat,Mighty Cash,Fa Fa Fa,Link,MIG-01,1,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-101,Light & Wonder,Rakin' Bacon Deluxe,Standard,Video Slot,RAK-01,1,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-102,Light & Wonder,Rich Little Hens,Standard,Video Slot,RIC-01,1,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-103,Light & Wonder,Temple Falls,Standard,Video Slot,TEM-01,1,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-104,IGT,Double Gold Pinball,Standard,Reel,DOU-01,1,95,Ship-specific seed,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-105,IGT,Top Dollar,Standard,Reel,TOP-01,1,95,Ship-specific seed,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-106,IGT,Triple Red Hot 7s,Standard,Reel,TRI-01,1,95,Ship-specific seed,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-107,IGT,Blazing Sevens,Standard,Reel,BLA-01,1,95,Ship-specific seed,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-108,Light & Wonder,Lock It Link,Piggy Bankin',Link,LOC-01,2,95,Ship-specific seed,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-109,Aristocrat,Coin Trio,Piggy Burst,Video Slot,COI-01,2,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-110,Aristocrat,Dragon Link,Autumn Moon,Link,DRA-01,3,76,Fleet-staple modeled,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-111,Light & Wonder,Dancing Drums,Prosperity Link,Link,DAN-01,1,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-112,Aristocrat,Buffalo Link,Super Buffalo,Link,BUF-01,3,62,Modeled from whitelist,9,User list / visual ID,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-113,Aristocrat,Lightning Link,Best Bet,Link,LIG-01,2,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-114,Aristocrat,Mighty Cash,Ultra 88,Link,MIG-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-115,Light & Wonder,Dancing Drums,Explosion,Video Slot,DAN-01,1,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-116,Light & Wonder,Huff N Puff,Original,Feature Slot,HUF-01,3,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-117,IGT,Back to the Future,Back in Time,Licensed,BAC-01,1,62,Modeled from whitelist,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-118,Light & Wonder,Big Hot Flaming Pots,Mr. Lee,Video Slot,BIG-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-119,Konami,San Fa,Pandas,Video Slot,SAN-01,1,62,Modeled from whitelist,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-120,Konami,All Aboard,Gold Express,Video Slot,ALL-01,1,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-121,Aristocrat,Regal Riches,Standard,Video Slot,REG-01,1,62,Modeled from whitelist,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-122,Light & Wonder,Quick Hit,Wild Red Free Games Fever,Video Slot,QUI-01,1,62,Modeled from whitelist,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-123,Aristocrat,Dragon Link,Golden Century,Link,DRA-01,3,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-124,Aristocrat,Mighty Cash,Fa Fa Fa,Link,MIG-01,2,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-125,Aristocrat,Wonder 4 Boost,Standard,Video Slot,WON-01,2,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-126,Konami,Phoenix Link,Queen Chiao,Link,PHO-01,3,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-127,IGT,Wheel of Fortune,Gold Spin,Reel/Video,WHE-01,4,95,Ship-specific seed,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-128,Light & Wonder,Fire Link,Pillars of Cash,Link,FIR-01,1,62,Modeled from whitelist,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-129,Light & Wonder,Lock It Link,Nightlife,Link,LOC-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-130,IGT,Double Gold Pinball,Standard,Reel,DOU-01,2,95,Ship-specific seed,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-131,Light & Wonder,Dancing Drum Towers,Standard,Video Slot,DAN-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-132,Light & Wonder,Coin Combo,Hurricane Horse,Video Slot,COI-01,1,62,Modeled from whitelist,9,User list / visual ID,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-133,Aristocrat,Buffalo Gold,Collection,Video Slot,BUF-01,3,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-134,Light & Wonder,Flaming Hot Pots,Mr. Lee,Video Slot,FLA-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-135,Light & Wonder,Jade Tree,Standard,Video Slot,JAD-01,1,62,Modeled from whitelist,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-136,Konami,China Shores,Standard,Video Slot,CHI-01,1,62,Modeled from whitelist,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-137,Modeled from user list,Aladdin,Magic Quest,Licensed,ALA-01,1,62,Modeled from whitelist,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-138,Novomatic,Book of Ra Deluxe,Standard,Video Slot,BOO-01,1,62,Modeled from whitelist,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-139,Konami,Phoenix Link,General Tso,Link,PHO-01,3,95,Ship-specific seed,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-140,Light & Wonder,Dancing Drums,Original,Video Slot,DAN-01,2,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-141,Light & Wonder,Rich Little Hens,Standard,Video Slot,RIC-01,2,95,Ship-specific seed,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-142,Konami,Phoenix Link,Sensei,Link,PHO-01,3,62,Modeled from whitelist,10,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-143,Aristocrat,Spooky Link,Mo' Spins / Mo' Symbols,Link,SPO-01,1,62,Modeled from whitelist,10,User list / visual ID,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-144,Aristocrat,Lightning Link,Magic Pearl,Link,LIG-01,2,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-145,Light & Wonder,Lock It Link,Eureka Reel Blast,Link,LOC-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-146,IGT,Blazing Sevens,Standard,Reel,BLA-01,2,95,Ship-specific seed,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-147,Light & Wonder,Bao Zhu Zhao Fu,Dragon Emblem,Video Slot,BAO-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-148,Light & Wonder,Duo Fu Duo Cai,Dragons,Video Slot,DUO-01,1,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-149,Light & Wonder,Coin Combo,Terrific Tiger,Video Slot,COI-01,1,62,Modeled from whitelist,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-150,Konami,Dragon's Law,Standard,Video Slot,DRA-01,1,62,Modeled from whitelist,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-151,Aristocrat,Buffalo Stampede,Standard,Video Slot,BUF-01,3,62,Modeled from whitelist,7,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-152,Light & Wonder,Mighty Monkey,Standard,Video Slot,MIG-01,1,62,Modeled from whitelist,6,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-153,WMS / Light & Wonder,Lord of the Rings,Return of the King,Licensed,LOR-01,1,62,Modeled from whitelist,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-154,Modeled from user list,Underdog,Standard,Video Slot,UND-01,1,62,Modeled from whitelist,5,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-155,Light & Wonder,Prosperity Link,Standard,Link,PRO-01,2,95,Ship-specific seed,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-156,Aristocrat,Buffalo Ascension,Standard,Video Slot,BUF-01,4,95,Ship-specific seed,8,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-157,Multi-vendor,Video Poker,Bar-top,Video Poker,VID-04,3,95,Ship-specific seed,4,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-158,Aristocrat,Dragon Link,Spring Festival,Link,DRA-01,3,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-159,Aristocrat,Lightning Link,Tiki Fire,Link,LIG-01,3,76,Fleet-staple modeled,9,User list,Included only because title appears in uploaded seed list
Icon of the Seas,Icon,370,I-160,Aristocrat,Lightning Link,High Stakes,Link,LIG-01,2,76,Fleet-staple modeled,8,User list,Included only because title appears in uploaded seed list
